weight,quality,color,clarity,depth,width_rel,price,x,y,z
0.71,Premium,F,VS1,62.7,59.0,2839,5.7,5.62,3.55
1.0,Good,F,SI1,63.3,61.0,4712,6.29,6.31,3.99
0.51,Premium,G,VS1,62.3,59.0,1656,5.06,5.12,3.17
1.5,Premium,I,VVS2,61.4,58.0,11007,7.38,7.32,4.51
0.31,Ideal,E,VS2,61.6,57.0,680,4.35,4.38,2.69
2.25,Ideal,I,SI2,60.7,56.0,11104,8.54,8.5,5.17
0.83,Premium,J,SI1,62.8,58.0,2311,6.0,5.95,3.75
0.5,Good,G,VVS2,64.1,56.0,1666,5.02,5.06,3.23
0.43,Fair,E,VS2,60.5,59.0,1107,4.92,4.9,2.97
0.77,Very Good,G,SI1,63.2,57.0,2586,5.86,5.76,3.67
0.54,Premium,F,VS2,58.9,59.0,1667,5.37,5.32,3.15
1.73,Ideal,J,SI1,62.6,57.0,6927,7.69,7.65,4.8
0.57,Premium,E,VS2,61.4,58.0,1949,5.37,5.32,3.28
0.32,Premium,H,VVS2,60.2,60.0,828,4.48,4.45,2.69
0.9,Premium,G,SI2,62.4,55.0,3478,6.17,6.13,3.84
0.57,Premium,D,VS2,61.7,60.0,2047,5.32,5.28,3.27
1.33,Premium,G,VS2,58.6,61.0,9682,7.21,7.17,4.21
0.35,Ideal,I,VS1,61.7,54.0,571,4.54,4.57,2.81
0.23,Good,F,VVS2,61.2,62.0,462,3.95,3.99,2.43
1.0,Fair,G,VS2,67.6,57.0,5484,6.2,6.13,4.17
0.53,Ideal,H,VS1,61.9,55.0,1731,5.18,5.21,3.22
0.37,Premium,J,VS2,61.1,60.0,583,4.63,4.6,2.82
1.07,Very Good,H,VVS2,61.3,56.0,6751,6.54,6.59,4.03
0.51,Ideal,D,VS2,62.7,55.0,1882,5.12,5.09,3.2
1.2,Very Good,F,VS1,58.7,59.0,9574,6.89,7.07,4.1
0.72,Ideal,F,VS2,61.1,56.0,3226,5.92,5.8,3.55
0.7,Fair,G,VS1,65.8,61.0,2384,5.61,5.46,3.64
2.01,Good,H,SI2,62.2,57.0,14956,8.05,8.1,5.03
0.32,Premium,F,VVS2,61.8,59.0,793,4.42,4.38,2.72
1.01,Premium,J,VS2,62.4,60.0,3190,6.45,6.35,3.99
1.31,Premium,D,VVS1,62.8,55.0,17496,7.01,6.95,4.38
0.39,Good,F,VS1,62.8,61.0,847,4.63,4.67,2.92
0.77,Ideal,D,SI1,62.6,57.0,2898,5.92,5.81,3.67
0.41,Ideal,E,VS2,62.5,55.0,935,4.74,4.77,2.97
0.35,Ideal,I,IF,61.8,53.0,808,4.55,4.57,2.81
1.0,Premium,D,SI1,62.0,58.0,4704,6.41,6.29,3.94
1.01,Very Good,E,VS2,62.9,57.0,6488,6.37,6.43,4.02
0.28,Very Good,F,VS1,60.8,58.0,487,4.24,4.28,2.59
0.3,Ideal,I,VS2,62.0,55.0,438,4.3,4.35,2.68
